,date,datatype,station,attributes,value
141,2018-08-20T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",261
142,2018-08-21T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",256
143,2018-08-22T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",261
144,2018-08-23T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",267
145,2018-08-24T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",222
146,2018-08-25T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",300
147,2018-08-26T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",339
148,2018-08-27T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",339
149,2018-08-28T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",328
150,2018-08-29T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",244
151,2018-08-30T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",228
152,2018-08-31T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",294
153,2018-09-01T00:00:00,TMAX,GHCND:USW00094846,",,W,2400",300
